,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
99,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
100,"(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,
101,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
102,"(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,,
103,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
104,"(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,,
105,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
106,"(13, 0, 0)","(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
107,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
108,"(4, 2, 10)","(8, 2, 10)",,,,,,,,,,,,,
109,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
110,"(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
111,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
112,"(15, 0, 0)","(11, 0, 0)","(7, 2, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,
113,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
114,"(13, 0, 0)","(9, 0, 0)","(5, 0, 0)","(1, 3, 0)","(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,
115,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
116,"(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,
117,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
118,"(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,
119,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
120,"(20, 0, 0)","(16, 0, 0)","(12, 1, 0)","(13, 0, 0)","(9, 3, 10)","(8, 0, 10)",,,,,,,,,
121,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
122,"(11, 0, 0)","(7, 2, 0)","(11, 2, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,
123,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
124,"(4, 2, 10)","(8, 2, 10)",,,,,,,,,,,,,
125,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
126,"(4, 0, 0)","(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
127,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
128,"(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,,
129,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
130,"(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,
131,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
132,"(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,,
133,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
134,"(13, 3, 0)","(12, 2, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,
135,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
136,"(20, 0, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
137,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
138,"(22, 1, 0)","(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,
139,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
140,"(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,,,
141,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
142,"(4, 2, 10)","(8, 2, 10)",,,,,,,,,,,,,
143,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
144,"(17, 3, 0)","(16, 1, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,
145,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
146,"(4, 1, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
147,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
148,"(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,
149,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
150,"(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,,,
151,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
152,"(22, 3, 0)","(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,
153,2.023042813383415,1.4657600765914585,0.0,0.0,,,,,,,,,,,
154,"(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,,,
155,2.023042813383415,1.4657600765914585,0.0,0.0,,,,,,,,,,,
156,"(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,,
157,2.023042813383415,1.4657600765914585,0.0,0.0,,,,,,,,,,,
158,"(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
159,2.023042813383415,1.4657600765914585,0.0,0.0,,,,,,,,,,,
160,"(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,,,
161,2.023042813383415,1.4657600765914585,0.0,0.0,,,,,,,,,,,
162,"(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,,,
163,2.023042813383415,1.4657600765914585,0.0,0.0,,,,,,,,,,,
164,"(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
165,2.023042813383415,1.4657600765914585,0.0,0.0,,,,,,,,,,,
166,"(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,
167,2.023042813383415,1.4657600765914585,0.0,0.0,,,,,,,,,,,
168,"(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,,
169,2.023042813383415,1.4657600765914585,0.0,0.0,,,,,,,,,,,
170,"(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,
171,2.023042813383415,1.4657600765914585,0.0,0.0,,,,,,,,,,,
172,"(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,
173,2.023042813383415,1.4657600765914585,0.0,0.0,,,,,,,,,,,
174,"(13, 0, 0)","(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
