,0,1,2,3,4,5,6,7,8,9,10,11,12,13
98,"(22, 3, 0)","(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,
99,0.2464548101441698,0.0,0.0,0.0,,,,,,,,,,
100,"(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
101,0.2464548101441698,0.0,0.0,0.0,,,,,,,,,,
102,"(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,
103,0.31775947544921507,0.0,0.0,0.0,,,,,,,,,,
104,"(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,
105,0.31775947544921507,0.0,0.0,0.0,,,,,,,,,,
106,"(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,,
107,0.31775947544921507,0.0,0.0,0.0,,,,,,,,,,
108,"(11, 2, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,
109,0.31775947544921507,0.0,0.0,0.0,,,,,,,,,,
110,"(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,
111,0.31775947544921507,0.0,0.0,0.0,,,,,,,,,,
112,"(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
113,0.31775947544921507,0.0,0.0,0.0,,,,,,,,,,
114,"(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,
115,0.31775947544921507,0.0,0.0,0.0,,,,,,,,,,
116,"(13, 3, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
117,0.31775947544921507,0.0,0.0,0.0,,,,,,,,,,
118,"(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,
119,0.4705862819821977,0.0,0.0,0.0,,,,,,,,,,
120,"(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,,
121,0.4705862819821977,0.0,0.0,0.0,,,,,,,,,,
122,"(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
123,0.4705862819821977,0.0,0.0,0.0,,,,,,,,,,
124,"(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,
125,0.4705862819821977,0.0,0.0,0.0,,,,,,,,,,
126,"(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,,
127,0.4705862819821977,0.0,0.0,0.0,,,,,,,,,,
128,"(13, 3, 0)","(12, 1, 0)","(13, 3, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,
129,0.4705862819821977,0.0,0.0,0.0,,,,,,,,,,
130,"(4, 0, 0)","(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
131,0.4705862819821977,0.0,0.0,0.0,,,,,,,,,,
132,"(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,
133,0.4705862819821977,0.0,0.0,0.0,,,,,,,,,,
134,"(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,
135,0.4705862819821977,0.0,0.0,0.0,,,,,,,,,,
136,"(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,
137,0.4705862819821977,0.0,0.0,0.0,,,,,,,,,,
138,"(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,,
139,0.4705862819821977,0.0,0.0,0.0,,,,,,,,,,
140,"(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,
141,0.4705862819821977,0.0,0.0,0.0,,,,,,,,,,
142,"(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,
143,0.4705862819821977,0.0,0.0,0.0,,,,,,,,,,
144,"(20, 1, 0)","(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,
145,0.6787339943684922,0.0,0.0,0.0,,,,,,,,,,
146,"(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
147,0.6787339943684922,0.0,0.0,0.0,,,,,,,,,,
148,"(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,
149,0.6787339943684922,0.0,0.0,0.0,,,,,,,,,,
150,"(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,
151,0.6787339943684922,0.0,0.0,0.0,,,,,,,,,,
152,"(15, 0, 0)","(11, 2, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,
153,0.6787339943684922,0.0,0.0,0.0,,,,,,,,,,
154,"(13, 3, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
155,0.6787339943684922,0.0,0.0,0.0,,,,,,,,,,
156,"(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,,
157,0.6787339943684922,0.0,0.0,0.0,,,,,,,,,,
158,"(9, 1, 0)","(13, 3, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,
159,0.6787339943684922,0.0,0.0,0.0,,,,,,,,,,
160,"(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,
161,0.6787339943684922,0.0,0.0,0.0,,,,,,,,,,
