,0,1,2,3,4,5,6,7,8,9,10,11,12
237,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
238,"(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
239,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
240,"(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,
241,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
242,"(17, 0, 0)","(13, 0, 0)","(9, 3, 10)","(8, 3, 10)",,,,,,,,,
243,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
244,"(17, 0, 0)","(13, 0, 0)","(9, 3, 10)","(8, 3, 10)",,,,,,,,,
245,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
246,"(21, 0, 0)","(17, 0, 0)","(13, 0, 0)","(9, 3, 10)","(8, 3, 10)",,,,,,,,
247,1.9864343426500755,0.0,0.0,0.7855631510416667,,,,,,,,,
248,"(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,
249,1.9864343426500755,0.0,0.0,0.7855631510416667,,,,,,,,,
250,"(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,
251,1.9864343426500755,0.0,0.0,0.7855631510416667,,,,,,,,,
252,"(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,
253,1.9864343426500755,0.0,0.0,0.7855631510416667,,,,,,,,,
254,"(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,
255,1.9864343426500755,0.0,0.0,0.7855631510416667,,,,,,,,,
256,"(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,
257,1.9864343426500755,0.0,0.0,0.7855631510416667,,,,,,,,,
258,"(20, 0, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,
259,1.9864343426500755,0.0,0.0,0.7855631510416667,,,,,,,,,
260,"(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
261,1.9864343426500755,0.0,0.0,0.7855631510416667,,,,,,,,,
262,"(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
263,1.9864343426500755,0.0,0.0,0.7855631510416667,,,,,,,,,
264,"(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,
265,1.9864343426500755,0.0,0.0,0.7855631510416667,,,,,,,,,
266,"(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,
267,1.9864343426500755,0.0,0.0,0.7855631510416667,,,,,,,,,
268,"(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,
269,1.9864343426500755,0.0,0.0,0.7855631510416667,,,,,,,,,
270,"(20, 0, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,
271,1.9864343426500755,0.0,0.0,0.7855631510416667,,,,,,,,,
272,"(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
273,1.9864343426500755,0.0,0.0,0.7855631510416667,,,,,,,,,
274,"(21, 0, 0)","(17, 0, 0)","(13, 0, 0)","(9, 3, 10)","(8, 3, 10)",,,,,,,,
275,1.9932061638683078,0.0,0.0,0.7855631510416667,,,,,,,,,
276,"(20, 0, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,
277,1.9932061638683078,0.0,0.0,0.7855631510416667,,,,,,,,,
278,"(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
279,1.9932061638683078,0.0,0.0,0.7855631510416667,,,,,,,,,
280,"(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
281,1.9932061638683078,0.0,0.0,0.7855631510416667,,,,,,,,,
282,"(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
283,1.9932061638683078,0.0,0.0,0.7855631510416667,,,,,,,,,
284,"(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
285,1.9932061638683078,0.0,0.0,0.7855631510416667,,,,,,,,,
286,"(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,
287,1.9932061638683078,0.0,0.0,0.7855631510416667,,,,,,,,,
288,"(22, 1, 0)","(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,
289,1.9932061638683078,0.0,0.0,0.7855631510416667,,,,,,,,,
290,"(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
291,1.9932061638683078,0.0,0.0,0.7855631510416667,,,,,,,,,
292,"(4, 0, 0)","(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,
293,1.9932061638683078,0.0,0.0,0.7855631510416667,,,,,,,,,
294,"(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
295,1.9932061638683078,0.0,0.0,0.7855631510416667,,,,,,,,,
296,"(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,
